I (792798) MPU6050: g_total(raw)=1.013 g (ax=0.006, ay=-0.990, az=-0.214)
I (792898) MPU6050: g_total(raw)=1.006 g (ax=0.013, ay=-0.985, az=-0.205)
I (792998) MPU6050: g_total(raw)=1.008 g (ax=0.012, ay=-0.987, az=-0.205)
I (793098) MPU6050: g_total(raw)=0.996 g (ax=-0.001, ay=-0.977, az=-0.194)
I (793198) MPU6050: g_total(raw)=1.006 g (ax=0.000, ay=-0.982, az=-0.216)
I (793298) MPU6050: g_total(raw)=1.004 g (ax=0.014, ay=-0.979, az=-0.222)
I (793398) MPU6050: g_total(raw)=1.014 g (ax=0.013, ay=-0.988, az=-0.226)
I (793498) MPU6050: g_total(raw)=1.005 g (ax=-0.004, ay=-0.981, az=-0.216)
I (793598) MPU6050: g_total(raw)=1.007 g (ax=0.006, ay=-0.978, az=-0.239)
I (793698) MPU6050: g_total(raw)=1.001 g (ax=0.016, ay=-0.974, az=-0.231)
I (793798) MPU6050: g_total(raw)=1.011 g (ax=0.013, ay=-0.983, az=-0.236)
I (793898) MPU6050: g_total(raw)=1.009 g (ax=0.012, ay=-0.983, az=-0.227)
I (793998) MPU6050: g_total(raw)=1.021 g (ax=0.007, ay=-0.992, az=-0.240)
I (794098) MPU6050: g_total(raw)=1.002 g (ax=0.013, ay=-0.971, az=-0.244)
I (794198) MPU6050: g_total(raw)=1.008 g (ax=0.013, ay=-0.977, az=-0.249)
I (794298) MPU6050: g_total(raw)=1.003 g (ax=0.013, ay=-0.976, az=-0.235)
I (794398) MPU6050: g_total(raw)=1.015 g (ax=0.010, ay=-0.981, az=-0.259)
I (794498) MPU6050: g_total(raw)=1.005 g (ax=0.010, ay=-0.971, az=-0.260)
I (794598) MPU6050: g_total(raw)=1.001 g (ax=0.015, ay=-0.969, az=-0.248)
I (794698) MPU6050: g_total(raw)=1.002 g (ax=0.010, ay=-0.970, az=-0.252)
I (794798) MPU6050: g_total(raw)=1.001 g (ax=0.016, ay=-0.967, az=-0.261)
I (794898) MPU6050: g_total(raw)=1.000 g (ax=0.005, ay=-0.964, az=-0.264)
I (794998) MPU6050: g_total(raw)=1.005 g (ax=0.013, ay=-0.968, az=-0.269)
